Pergunta,PS,AD,Chega,IL,PCP,Livre,PAN,BE,ADN,RIR,JPP,Nova Direita,PCTP/MRPP,Volt
"A gestão pública tende a ser pior do que a gestão privada, pelo que os cuidados de saúde públicos são normalmente inferiores aos seguros de saúde patrocinados pelo Estado, onde os cidadãos procuram cuidados de saúde junto de prestadores privados.",-1,1,1,1,-2,-2,-1,-2,2,-1,-1,1,-2,-1
"As Parcerias Publico-Privadas são benéficas para o País, desde que sejam bem negociadas.",1,2,2,2,-2,-1,0,-2,2,1,1,2,-2,1
Os subsídios de desemprego generosos conduzem a uma menor criação de emprego e de empresas e acabam muitas vezes por causar mais danos do que benefícios.,-1,-1,1,1,-2,-2,-1,-2,2,-1,-1,0,-2,-1
"Seria benéfico para o país privatizar a maioria das empresas publicas e a infraestrutura, já que a gestão privada seria de melhor qualidade",-1,0,1,2,-2,-2,-1,-2,-1,-1,-1,1,-2,-1
"É crucial que a trajetória da dívida pública seja controlada, mesmo que isso implique cortes no investimento público, salários públicos e nas despesas sociais.",0,1,0,2,-2,-1,0,-2,0,1,0,2,-2,1
"Reduzir alguma proteção laboral daria mais incentivo à contratação, dinamizando a economia e a criação de emprego",-1,0,0,2,-2,-2,-1,-2,0,-1,0,1,-2,1
"O governo deveria procurar ter um sistema fiscal o mais simples possivel, evitando utilizar impostos e incentivos fiscais para inflenciar decisões de consumo ou investimento",-1,-1,1,2,-2,-2,-1,-2,1,-1,-1,2,-2,0
Os governos não devem regulamentar e tributar para combater a poluição e as alterações climáticas,-2,-1,1,2,-1,-2,-2,-2,2,-1,-1,1,-2,-2
"Embora a regulamentação vise proteger os consumidores, a regulamentação excessiva muitas vezes sufoca a atividade económica e o empreendedorismo",-1,1,2,2,-2,-1,0,-2,2,-1,0,1,-2,1
O Estado quase nunca consegue conceber programas de apoio que prevejam com precisão a melhor utilização dos recursos. Só o sector privado pode tomar as melhores decisões de investimento para a sociedade.,-2,-1,1,2,-2,-2,-1,-2,1,-2,-1,1,-2,-1
O IRS devia ser menos progressivo para dar incentivos aos melhores a ficarem no país.,-2,-1,1,2,-2,-2,-2,-2,2,-2,-2,1,-2,-2
Reduzir o IRC pode ser importante em fomentar o investimento e a competitividade internacional da economia portuguesa,-1,1,1,2,-2,-2,0,-2,1,-1,1,2,-2,1
Pessoas que nasceram com pais ricos não deveriam ver sua herança ou riqueza tributada porque seus pais têm o direito de fazer o que quiserem com seu dinheiro.,0,1,2,2,-2,-2,-1,-2,2,0,0,2,-2,-2
Os programas de subsídios dirigidos aos mais necessitados não são essenciais para garantir a igualdade de oportunidades numa sociedade e muitas vezes apenas criam dependência do Estado.,-2,-1,1,0,-2,-2,-2,-2,1,-2,-1,0,-2,-2
"Em regra, à medida que aumenta a carga fiscal, a actividade económica é cada vez mais desincentivada.",1,2,2,2,-2,-1,1,-2,2,1,1,2,-2,1
"Na maioria das circunstâncias, o comércio livre entre países pode melhorar a situação de todas as partes",1,2,-1,2,-1,0,1,-1,-1,0,2,1,-2,2
"A economia europeia continua demasiado fragmentada e deverá convergir para um verdadeiro mercado único, a fim de ser competitiva com os Estados Unidos e a China.",1,1,-2,2,-1,1,0,-2,-2,0,1,-1,-2,2
"A União Europeia deve ignorar as considerações geopolíticas e negociar livremente com todos os países, independentemente dos seus valores e políticas.",-1,-1,-1,1,-1,-1,-1,-2,-1,-1,-1,0,-2,-1
"Se uma indústria nacional anteriormente forte sofre com a concorrência internacional, o estado não a deverá subsidiar, mas sim criar rapidamente condições para a requalificação da economia.",-1,0,0,1,-2,-1,0,-1,0,-1,0,0,-2,1
Devia ser mais fácil trabalhar e criar empresas em qualquer país da união europeia independentemente do país de origem.,0,1,-1,2,-2,1,1,-1,-1,0,1,0,-2,2
O uso recreativo da canábis deveria ser legalizado e regulamentado.,0,1,-2,2,-1,2,1,2,-2,0,0,-2,-1,2
A prostituição deveria ser legalizada e regulamentada,0,-1,-2,1,-2,2,1,2,-2,-1,0,-2,-2,2
A eutanásia deveria ser legalizada.,2,-1,-2,2,0,2,1,2,-2,0,0,-2,-2,2
As sociedades deveriam ter mais em conta o bem-estar dos animais.,0,0,-2,-1,-1,1,2,2,-2,-1,-1,-2,-2,1
"Educar as crianças na escola para compreenderem a diversidade da experiência humana (expondo-as a assuntos como a discriminação racial, de genero, sexual, etc.) é crucial para garantir uma sociedade mais justa e empática no futuro.",1,-1,-2,0,0,2,2,2,-2,-1,-1,-2,-1,1
"Não basta atingir igualdade de oportunidade entre sexos e etnias, é necessário lutar pela igualdade de resultados",1,-1,-2,-1,1,2,1,2,-2,0,0,-2,1,1
A religião deve ser mantida fora das escolas públicas,2,1,-1,2,2,2,2,2,-2,1,2,-1,2,2
"O Estado deve garantir a liberdade religiosa, mesmo quando a grande maioria do país segue a mesma religião",2,2,0,2,2,2,2,2,-1,2,2,0,2,2
"Mesmo quando desempenha um papel fundamental na sociedade, a igreja ainda deve pagar impostos.",1,0,0,1,2,2,1,2,-1,1,1,0,2,1
O Estado deve progressivamente acabar com todos os feriados religiosos para alem do Natal e da Pascoa,0,-1,-2,0,2,0,0,2,-2,-2,0,-2,2,0
Ter comunidades no país com culturas diferentes enriquece sempre a sociedade sem pôr em causa a cultura nacional.,1,0,-2,1,0,2,1,2,-2,0,0,-1,0,1
"A imigração deveria ser fácil, pois a grande maioria dos imigrantes procura construir uma vida melhor para si, em harmonia com a população nativa e porque contibuem positivamente para o país.",1,-1,-2,1,1,2,1,2,-2,0,0,-1,0,2
"Não é correto estigmatizar um grupo social, mesmo que uma minoria desse grupo esteja associada a comportamentos impróprios ou ilegals.",2,1,-2,1,2,2,2,2,-2,2,2,-1,2,2
"Os imigrantes não devem ser obrigados a aprender a língua do país de acolhimento, desde que cumpram as suas leis.",1,0,-2,1,1,2,2,2,-2,1,1,-1,0,1
"Existem poucos limites para quantos imigrantes e refugiados um país pode receber, mesmo num curto espaço de tempo.",0,-1,-2,0,1,2,0,1,-2,0,0,-1,0,0
